form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
ཚོགས་	ཚོགས་	NOUN
བསྡུ་	བསྡུ་	VERB
།		PUNCT
རཾ་		NON_WORD
ཡཾ་		NON_WORD
ཁཾ་		NON_WORD
།		PUNCT
		
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ལྷ་ཚོགས་	ལྷ་ཚོགས་	NOUN
གཤེགས་	གཤེགས་	VERB
།		PUNCT
		
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ལྔ་ལྡན་	ལྔ་ལྡན་	OTHER
འདོད་ཡོན་	འདོད་ཡོན་	NOUN
ཚོགས་མཆོད་	ཚོགས་མཆོད་	NOUN
བཞེས་	བཞེས་	VERB
།		PUNCT
		
།		PUNCT
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
བསྐང་	བསྐང་	NO_POS
ཞིང་	ཅིང་	PART
ཉམས་ཆག་	ཉམས་ཆག་	OTHER
འགལ་	འགལ་	VERB
འཁྲུལ་	འཁྲུལ་	NO_POS
བཤགས་	བཤགས་	NO_POS
།		PUNCT
		
།		PUNCT
གཟུང་འཛིན་	གཟུང་འཛིན་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
སྒྲོལ་	སྒྲོལ་	VERB
མཆོག་	མཆོག་	ADJ
ཐུན་	ཐུན་	NOUN
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
སྩོལ་	སྩོལ་	VERB
།		PUNCT
		
།		PUNCT
ཡིག་བརྒྱ་	ཡིག་བརྒྱ་	NO_POS
བརྗོད་	བརྗོད་	VERB
།		PUNCT
པདྨ་	པདྨ་	NOUN
བི་	བི་	NO_POS
ཛ་	ཛ་	OTHER
ས་	གིས་	PART
སོ་	གོ་	PART
༎		PUNCT
		
༎		PUNCT
